,input,model_output,strategy,group,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9,ref10,BLEU,SARI_P,SARI_F,sample_id
45,"the polymer is most often epoxy, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.","in some items like vinyl or ester, it is usually used.",Alter sentence structure for awkward phrasing,worse_subtle,"the binding agent is most often epoxy, but others, such as as polyester, vinyl ester or nylon, are also used.",the most popular polymer to use is epoxy.,"the polymer is most often epoxy. polymers such as polyester, vinyl ester or nylon are sometimes used.","the most commonly used polymer is epoxy.  however, other polymers used include polyester, vinyl ester and nylon.","the material used is usually epoxy, but polyester, vinyl ester or nylon are also used sometimes.","the chemical is usually epoxy, but other chemicals like polyester, vinyl ester or nylon, are also sometimes used.",epoxy is the most common polymer used.  sometimes vinyl ester or nylon are used.,"the polymer is most often epoxy, but polyester, vinyl ester, or nylon are sometimes used.","the polymer is most often adhesives but other polymers like polyester, vinyl ester or nylon, are also sometimes used.","the polymer is most often epoxy, but other polymers, like polyester, vinyl ester or nylon, are also sometimes used.",9.401936634847434,0.24821512415124303,0.245482258340719,d2f6c105fddb4ae567a5c0b7d4cf667d
46,"the polymer is most often epoxy, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.","usually, it are used in some items like vinyl or ester.",Introduce grammatical errors and inconsistencies,worse_subtle,"the binding agent is most often epoxy, but others, such as as polyester, vinyl ester or nylon, are also used.",the most popular polymer to use is epoxy.,"the polymer is most often epoxy. polymers such as polyester, vinyl ester or nylon are sometimes used.","the most commonly used polymer is epoxy.  however, other polymers used include polyester, vinyl ester and nylon.","the material used is usually epoxy, but polyester, vinyl ester or nylon are also used sometimes.","the chemical is usually epoxy, but other chemicals like polyester, vinyl ester or nylon, are also sometimes used.",epoxy is the most common polymer used.  sometimes vinyl ester or nylon are used.,"the polymer is most often epoxy, but polyester, vinyl ester, or nylon are sometimes used.","the polymer is most often adhesives but other polymers like polyester, vinyl ester or nylon, are also sometimes used.","the polymer is most often epoxy, but other polymers, like polyester, vinyl ester or nylon, are also sometimes used.",7.143926969392127,0.2366693517333545,0.23495366545884466,d2f6c105fddb4ae567a5c0b7d4cf667d
47,"the polymer is most often epoxy, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.","typically, it is utilized in certain products such as vinyl or ester.",Replace common words with complex synonyms,worse_subtle,"the binding agent is most often epoxy, but others, such as as polyester, vinyl ester or nylon, are also used.",the most popular polymer to use is epoxy.,"the polymer is most often epoxy. polymers such as polyester, vinyl ester or nylon are sometimes used.","the most commonly used polymer is epoxy.  however, other polymers used include polyester, vinyl ester and nylon.","the material used is usually epoxy, but polyester, vinyl ester or nylon are also used sometimes.","the chemical is usually epoxy, but other chemicals like polyester, vinyl ester or nylon, are also sometimes used.",epoxy is the most common polymer used.  sometimes vinyl ester or nylon are used.,"the polymer is most often epoxy, but polyester, vinyl ester, or nylon are sometimes used.","the polymer is most often adhesives but other polymers like polyester, vinyl ester or nylon, are also sometimes used.","the polymer is most often epoxy, but other polymers, like polyester, vinyl ester or nylon, are also sometimes used.",6.963003305718091,0.2213332035965526,0.2182518348676353,d2f6c105fddb4ae567a5c0b7d4cf667d
48,"this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process (or component of a process, i.e. an enzyme, cell, cell receptor or microorganism) by half.","a special chemistry is an enzyme. a special process is an enzyme, cell, cell receptor or microorganism. this is due to a certain amount of energy, elemental an enzyme, cell, cell inhibitor or microorganism by half.",Alter sentence structure for awkward phrasing,worse_subtle,this number measure tells how much of a drug or chemical is needed to stop a life process or part of a process by half.,it tells how much of a drug would be needed to stop a process by half.,this measure shows how much of a drug or substance is needed to slow a biological process by half.,quantitative measures are used to determine the ingredients needed for biological processes.,this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process  by half.,this quantitative measure shows how much of a particular drug or other substance is needed to block a specific biological process by half.,this measurement will indicate how much of a particular drug or substance is needed to hold back a biological process by half.,this quantitative measure shows how much of a drug or other substance is needed to inhibit a biological process by half.,this measure shows how much of a drug or substance is needed to halt a given process by half.,this unit shows how much of a drug is needed to slow a biological process by half of its speed.,4.55295585154592,0.29874371652962833,0.2693330161630456,5c4747ebbf6f9fe4f117ac216b1db0b5
49,"this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process (or component of a process, i.e. an enzyme, cell, cell receptor or microorganism) by half.","an enzyme is a special chemistry. an enzyme, cell, cell receptor or microorganism is a special process. this is because of a certain amount of energy, elemental an enzyme, cell, cell inhibitor or microorganism by half.",Introduce grammatical errors and inconsistencies,worse_subtle,this number measure tells how much of a drug or chemical is needed to stop a life process or part of a process by half.,it tells how much of a drug would be needed to stop a process by half.,this measure shows how much of a drug or substance is needed to slow a biological process by half.,quantitative measures are used to determine the ingredients needed for biological processes.,this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process  by half.,this quantitative measure shows how much of a particular drug or other substance is needed to block a specific biological process by half.,this measurement will indicate how much of a particular drug or substance is needed to hold back a biological process by half.,this quantitative measure shows how much of a drug or other substance is needed to inhibit a biological process by half.,this measure shows how much of a drug or substance is needed to halt a given process by half.,this unit shows how much of a drug is needed to slow a biological process by half of its speed.,5.038673922099651,0.2960834477064882,0.26409709843999235,5c4747ebbf6f9fe4f117ac216b1db0b5
50,"this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process (or component of a process, i.e. an enzyme, cell, cell receptor or microorganism) by half.","an enzyme is a unique chemistry. an enzyme, cell, cell receptor or microorganism is a unique process. this is due to a specific quantity of energy, elemental an enzyme, cell, cell inhibitor or microorganism by half.",Replace common words with complex synonyms,worse_subtle,this number measure tells how much of a drug or chemical is needed to stop a life process or part of a process by half.,it tells how much of a drug would be needed to stop a process by half.,this measure shows how much of a drug or substance is needed to slow a biological process by half.,quantitative measures are used to determine the ingredients needed for biological processes.,this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process  by half.,this quantitative measure shows how much of a particular drug or other substance is needed to block a specific biological process by half.,this measurement will indicate how much of a particular drug or substance is needed to hold back a biological process by half.,this quantitative measure shows how much of a drug or other substance is needed to inhibit a biological process by half.,this measure shows how much of a drug or substance is needed to halt a given process by half.,this unit shows how much of a drug is needed to slow a biological process by half of its speed.,5.126335900863836,0.3035127957970768,0.27136031149602485,5c4747ebbf6f9fe4f117ac216b1db0b5
51,"a few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","a few animals possess a chromatic response, altering color in fluctuating environments, either seasonally (snowshoe hare) or much more swiftly with chromatophores in their integument (the cephalopod family).",Alter sentence structure for awkward phrasing,worse_subtle,some animals change color in different environments. sometimes this is because of the season.,"a few animals have a chromatic response, which means they change colors depending on their environment.  they can either do this with the seasons, or far more rapidly with cells in their skin.","a few animals have chromatic response. they can change color in changing environments. some change seasonally, like the ermine or snowshoe hare. some change quickly, like members of the cephalopod family.","some animals have chromatic response.  this means that they change colour in changing environments.  the change can be seasonal (e.g. ermine, snowshoe hare) or more quickly (e.g. chromatophores).",some animals change color in different environments.  they change colors with the seasons or with their skin cells.,a few animals change colors depending on their environment. this could be a seasonal change or a faster change.,a couple of animals change colors when their surroundings change either by season like the ermine and snowshoe hare or a lot quicker because they have organs in the skin (the cephalopod family).,some animals change colors in different environments. some animals like the ermine and snowshoe hare change color when the season changes. other types of animal change faster.,"some animals have 'chromatic responses', they change color depending on what's around them.","a few animals have chromatic response which means they change colors when their environment changes. this can happen either seasonally (ermine, snowshoe hare) or far more rapidly with pigment  in their outer layer of skin (octopus, squid).",36.05231073512947,0.3564205515565573,0.25667323868424435,52ae67a9b73f76abcea984a54d331ddd
52,"a few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","a few animals have chromatic response, changing color in changing environments, either seasonally (snowshoe hare) or more rapidly with chromatophores in their integument (the cephalopod family).",Introduce grammatical errors and inconsistencies,worse_subtle,some animals change color in different environments. sometimes this is because of the season.,"a few animals have a chromatic response, which means they change colors depending on their environment.  they can either do this with the seasons, or far more rapidly with cells in their skin.","a few animals have chromatic response. they can change color in changing environments. some change seasonally, like the ermine or snowshoe hare. some change quickly, like members of the cephalopod family.","some animals have chromatic response.  this means that they change colour in changing environments.  the change can be seasonal (e.g. ermine, snowshoe hare) or more quickly (e.g. chromatophores).",some animals change color in different environments.  they change colors with the seasons or with their skin cells.,a few animals change colors depending on their environment. this could be a seasonal change or a faster change.,a couple of animals change colors when their surroundings change either by season like the ermine and snowshoe hare or a lot quicker because they have organs in the skin (the cephalopod family).,some animals change colors in different environments. some animals like the ermine and snowshoe hare change color when the season changes. other types of animal change faster.,"some animals have 'chromatic responses', they change color depending on what's around them.","a few animals have chromatic response which means they change colors when their environment changes. this can happen either seasonally (ermine, snowshoe hare) or far more rapidly with pigment  in their outer layer of skin (octopus, squid).",56.398321514307234,0.35205581721767515,0.18047738774290423,52ae67a9b73f76abcea984a54d331ddd
53,"a few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","a few animals have chromatic response, changing hue in changing environments, either seasonally (snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).",Replace common words with complex synonyms,worse_subtle,some animals change color in different environments. sometimes this is because of the season.,"a few animals have a chromatic response, which means they change colors depending on their environment.  they can either do this with the seasons, or far more rapidly with cells in their skin.","a few animals have chromatic response. they can change color in changing environments. some change seasonally, like the ermine or snowshoe hare. some change quickly, like members of the cephalopod family.","some animals have chromatic response.  this means that they change colour in changing environments.  the change can be seasonal (e.g. ermine, snowshoe hare) or more quickly (e.g. chromatophores).",some animals change color in different environments.  they change colors with the seasons or with their skin cells.,a few animals change colors depending on their environment. this could be a seasonal change or a faster change.,a couple of animals change colors when their surroundings change either by season like the ermine and snowshoe hare or a lot quicker because they have organs in the skin (the cephalopod family).,some animals change colors in different environments. some animals like the ermine and snowshoe hare change color when the season changes. other types of animal change faster.,"some animals have 'chromatic responses', they change color depending on what's around them.","a few animals have chromatic response which means they change colors when their environment changes. this can happen either seasonally (ermine, snowshoe hare) or far more rapidly with pigment  in their outer layer of skin (octopus, squid).",55.01736770531887,0.35821625386729394,0.18627309991194493,52ae67a9b73f76abcea984a54d331ddd
54,the latter device can then be designed and used in less stringent environments.,the device can be used and designed.,Alter sentence structure for awkward phrasing,worse_subtle,the latter device can be designed and used in less stringent environments.,the second device can be designed to be used in settings with less strict requirements.,the latter device can be designed and used in less strict environments.,the last device can be used in less strict environments.,the device can be designed and used in less stringent situations.,the last device can be made and used in less severe environments.,the second device can be designed and used in less constricted environments.,the latter device can then be designed and used in less harsh environments.,the item can be made and used in places with less rules.,the last mentioned device can be designed and used in less strict environments.,39.9611111877791,0.26739852151264776,0.26451390612803233,0fdf5344c16696db4eb1ce3494f95b36
55,the latter device can then be designed and used in less stringent environments.,the device can be designed and useded.,Introduce grammatical errors and inconsistencies,worse_subtle,the latter device can be designed and used in less stringent environments.,the second device can be designed to be used in settings with less strict requirements.,the latter device can be designed and used in less strict environments.,the last device can be used in less strict environments.,the device can be designed and used in less stringent situations.,the last device can be made and used in less severe environments.,the second device can be designed and used in less constricted environments.,the latter device can then be designed and used in less harsh environments.,the item can be made and used in places with less rules.,the last mentioned device can be designed and used in less strict environments.,48.59869096699083,0.29155626120597583,0.2848434812323262,0fdf5344c16696db4eb1ce3494f95b36
56,the latter device can then be designed and used in less stringent environments.,the apparatus can be crafted and utilized.,Replace common words with complex synonyms,worse_subtle,the latter device can be designed and used in less stringent environments.,the second device can be designed to be used in settings with less strict requirements.,the latter device can be designed and used in less strict environments.,the last device can be used in less strict environments.,the device can be designed and used in less stringent situations.,the last device can be made and used in less severe environments.,the second device can be designed and used in less constricted environments.,the latter device can then be designed and used in less harsh environments.,the item can be made and used in places with less rules.,the last mentioned device can be designed and used in less strict environments.,9.545138913210204,0.22858046438577892,0.23380945298976752,0fdf5344c16696db4eb1ce3494f95b36
57,these attacks may have been psychological in origin rather than physical.,"instead of physical, these attacks may have been in source mental.",Alter sentence structure for awkward phrasing,worse_subtle,the attacks may have been psychological rather than physical in nature.,"these attacks were psychological, rather than physical.",these attacks were probably psychological instead of physical.,these may be psychological attack rather than physical attack.,these attacks may have been mental instead of physical.,these attacks may have been psychological rather than physical.,"the attacks might have been on people's minds, not their bodies.",these attacks may have come from the mind rather than the body.,"at first, these may have been some psychological attacks rather than physical.",the attacks could be from the mind rather than body strength.,44.48493879587353,0.4459993168933636,0.39078514789242985,2674997e5c1752052920c478c602ba28
58,these attacks may have been psychological in origin rather than physical.,these attacks may has been mental in source instead of physical.,Introduce grammatical errors and inconsistencies,worse_subtle,the attacks may have been psychological rather than physical in nature.,"these attacks were psychological, rather than physical.",these attacks were probably psychological instead of physical.,these may be psychological attack rather than physical attack.,these attacks may have been mental instead of physical.,these attacks may have been psychological rather than physical.,"the attacks might have been on people's minds, not their bodies.",these attacks may have come from the mind rather than the body.,"at first, these may have been some psychological attacks rather than physical.",the attacks could be from the mind rather than body strength.,35.08439695638686,0.37430818894200474,0.3465888906963907,2674997e5c1752052920c478c602ba28
59,these attacks may have been psychological in origin rather than physical.,these attacks may have been cognitive in source instead of physical.,Replace common words with complex synonyms,worse_subtle,the attacks may have been psychological rather than physical in nature.,"these attacks were psychological, rather than physical.",these attacks were probably psychological instead of physical.,these may be psychological attack rather than physical attack.,these attacks may have been mental instead of physical.,these attacks may have been psychological rather than physical.,"the attacks might have been on people's minds, not their bodies.",these attacks may have come from the mind rather than the body.,"at first, these may have been some psychological attacks rather than physical.",the attacks could be from the mind rather than body strength.,54.52469119630863,0.4459349519132427,0.3854219967311699,2674997e5c1752052920c478c602ba28
60,no skater has yet accomplished a quadruple axel in competition.,accomplished no skater has a quadruple axel in competition.,Alter sentence structure for awkward phrasing,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,65.80370064762461,0.6077240191035234,0.4553201729496772,083ea62fbb1911d0c239880f97547fd9
61,no skater has yet accomplished a quadruple axel in competition.,no skater has not accomplished a quadruple axel in competition.,Introduce grammatical errors and inconsistencies,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,58.77283725105319,0.5840030583425717,0.4027530583425718,083ea62fbb1911d0c239880f97547fd9
62,no skater has yet accomplished a quadruple axel in competition.,no skater has achieved a quadruple axel in competition.,Replace common words with complex synonyms,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,65.80370064762461,0.6158405290303781,0.47570520139505046,083ea62fbb1911d0c239880f97547fd9
63,"in a short video promoting the charity equality now joss whedon confirmed that ""fray is not done, fray is coming back.","promoting the charity equality now, joss whedon in a short video said that the movie was not finished, fray is coming back.",Alter sentence structure for awkward phrasing,worse_subtle,"in a short video for the charity equality now, joss whedon stated that ""fray is not done, fray is coming back"".","in an equality now video joss whedon confirmed ""fray is not done, fray is coming back.","joss whedon made a short video to support the charity equality now. in the video, he said, ""fray is not done, fray is coming back.""","joss whedon confirmed that ""fray is not done, fray is coming back"" in a short promotional video for the charity equality now.","in a short video for the charity equality now joss whedon said that ""fray is not done, fray is coming back.","in a video joss whedon said that ""fray is not done, fray is coming back.""","in a short video, joss whedon said that ""fray is coming back.""",in a short video to help give funds to equality now joss whedon said that fray will be back.,"joss whedon confirmed that ""fray is not done, fray is coming back"" in a short video that promotes the charity equality now",in a video joss whedon confirmed that the fray is not done.,55.86374486571748,0.37747258308241016,0.3346246305570382,0f51a25e6b3797fca47b94762a871dfb
64,"in a short video promoting the charity equality now joss whedon confirmed that ""fray is not done, fray is coming back.","in a short video promoting the charity equality now joss whedon stated that the film was not done, fray is coming back.",Introduce grammatical errors and inconsistencies,worse_subtle,"in a short video for the charity equality now, joss whedon stated that ""fray is not done, fray is coming back"".","in an equality now video joss whedon confirmed ""fray is not done, fray is coming back.","joss whedon made a short video to support the charity equality now. in the video, he said, ""fray is not done, fray is coming back.""","joss whedon confirmed that ""fray is not done, fray is coming back"" in a short promotional video for the charity equality now.","in a short video for the charity equality now joss whedon said that ""fray is not done, fray is coming back.","in a video joss whedon said that ""fray is not done, fray is coming back.""","in a short video, joss whedon said that ""fray is coming back.""",in a short video to help give funds to equality now joss whedon said that fray will be back.,"joss whedon confirmed that ""fray is not done, fray is coming back"" in a short video that promotes the charity equality now",in a video joss whedon confirmed that the fray is not done.,67.49314965971284,0.36026211901761757,0.29395681432869214,0f51a25e6b3797fca47b94762a871dfb
65,"in a short video promoting the charity equality now joss whedon confirmed that ""fray is not done, fray is coming back.","in a brief video endorsing the charity equality now joss whedon articulated that the cinematic work was not completed, fray is returning.",Replace common words with complex synonyms,worse_subtle,"in a short video for the charity equality now, joss whedon stated that ""fray is not done, fray is coming back"".","in an equality now video joss whedon confirmed ""fray is not done, fray is coming back.","joss whedon made a short video to support the charity equality now. in the video, he said, ""fray is not done, fray is coming back.""","joss whedon confirmed that ""fray is not done, fray is coming back"" in a short promotional video for the charity equality now.","in a short video for the charity equality now joss whedon said that ""fray is not done, fray is coming back.","in a video joss whedon said that ""fray is not done, fray is coming back.""","in a short video, joss whedon said that ""fray is coming back.""",in a short video to help give funds to equality now joss whedon said that fray will be back.,"joss whedon confirmed that ""fray is not done, fray is coming back"" in a short video that promotes the charity equality now",in a video joss whedon confirmed that the fray is not done.,30.33668865762665,0.3005000339026898,0.27905718154807274,0f51a25e6b3797fca47b94762a871dfb
66,"he came from a musical family; his mother, larue, was an administrative assistant and singer, and his father, keith brion, was a band director at yale.",keith brion was a band director at yale; his father was a singer.,Alter sentence structure for awkward phrasing,worse_subtle,his family was very musical. his mother was a singer and his father was a band director.,"he came from a musical family.  larue, his mother,  worked as administrative assistant and was a singer.  keith brion, his father, was a band director at yale.","his family was musical. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.","he can from a musical family.  his mother, larue was a secretary and singer.  his father, keith brion was a band director at yale.",his family was very musical.  his mother was a singer and his father was a band director.,"he came from a musical family. his mother, larue, was a singer and his father, keith brion, was a band director at yale.",he came from a family where his mom was a singer and administrative assistant and his dad a band director named keith brion at yale.,he came from a musical family. his mother was larue. she was an assistant and singer. his father was keith brion. he was a band director at yale.,his mother was a singer and his father was the band director at yale.,"he came from a musical family. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.",77.40443718000141,0.35483517234238465,0.3368560123865953,ddb094d9af061f2289d1be9f31f39e9b
67,"he came from a musical family; his mother, larue, was an administrative assistant and singer, and his father, keith brion, was a band director at yale.","his father was a singer, keith brion. at yale, he was a band director.",Introduce grammatical errors and inconsistencies,worse_subtle,his family was very musical. his mother was a singer and his father was a band director.,"he came from a musical family.  larue, his mother,  worked as administrative assistant and was a singer.  keith brion, his father, was a band director at yale.","his family was musical. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.","he can from a musical family.  his mother, larue was a secretary and singer.  his father, keith brion was a band director at yale.",his family was very musical.  his mother was a singer and his father was a band director.,"he came from a musical family. his mother, larue, was a singer and his father, keith brion, was a band director at yale.",he came from a family where his mom was a singer and administrative assistant and his dad a band director named keith brion at yale.,he came from a musical family. his mother was larue. she was an assistant and singer. his father was keith brion. he was a band director at yale.,his mother was a singer and his father was the band director at yale.,"he came from a musical family. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.",55.051473950105525,0.33555973683202206,0.32068890198226196,ddb094d9af061f2289d1be9f31f39e9b
68,"he came from a musical family; his mother, larue, was an administrative assistant and singer, and his father, keith brion, was a band director at yale.","his progenitor was a vocalist, keith brion. he was a director of bands at yale.",Replace common words with complex synonyms,worse_subtle,his family was very musical. his mother was a singer and his father was a band director.,"he came from a musical family.  larue, his mother,  worked as administrative assistant and was a singer.  keith brion, his father, was a band director at yale.","his family was musical. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.","he can from a musical family.  his mother, larue was a secretary and singer.  his father, keith brion was a band director at yale.",his family was very musical.  his mother was a singer and his father was a band director.,"he came from a musical family. his mother, larue, was a singer and his father, keith brion, was a band director at yale.",he came from a family where his mom was a singer and administrative assistant and his dad a band director named keith brion at yale.,he came from a musical family. his mother was larue. she was an assistant and singer. his father was keith brion. he was a band director at yale.,his mother was a singer and his father was the band director at yale.,"he came from a musical family. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.",39.65519814802686,0.28696228354111913,0.2809912118474308,ddb094d9af061f2289d1be9f31f39e9b
69,protests across the nation were suppressed.,suppressed were protests.,Alter sentence structure for awkward phrasing,worse_subtle,protests were stopped across the nation.,arguments all over the country were put slowed down.,national protests were suppressed.,protests across the country were stopped.,"in the whole country, the protests were stopped.",protests across the nation were stopped.,protests across the nation were stopped.,protests across the nation were put down.,protests across the nation were stopped.,protests were stopped.,22.59005009024613,0.2596096096096096,0.2526651651651652,f1af51d9a8585fd3ff1a21d97bc7d657
70,protests across the nation were suppressed.,protests was suppressed.,Introduce grammatical errors and inconsistencies,worse_subtle,protests were stopped across the nation.,arguments all over the country were put slowed down.,national protests were suppressed.,protests across the country were stopped.,"in the whole country, the protests were stopped.",protests across the nation were stopped.,protests across the nation were stopped.,protests across the nation were put down.,protests across the nation were stopped.,protests were stopped.,35.35533905932737,0.24806159420289856,0.24135283999414436,f1af51d9a8585fd3ff1a21d97bc7d657
71,protests across the nation were suppressed.,demonstrations were subdued.,Replace common words with complex synonyms,worse_subtle,protests were stopped across the nation.,arguments all over the country were put slowed down.,national protests were suppressed.,protests across the country were stopped.,"in the whole country, the protests were stopped.",protests across the nation were stopped.,protests across the nation were stopped.,protests across the nation were put down.,protests across the nation were stopped.,protests were stopped.,18.99589214128981,0.24814814814814815,0.2481481481481482,f1af51d9a8585fd3ff1a21d97bc7d657
72,"however, even to those who enter the prayer hall of a mosque without the intention of praying, there are still rules that apply.","however, even to those who enter the prayer hall of a mosque with the intention of praying, there are still rules that apply.",Alter sentence structure for awkward phrasing,worse_subtle,"people might go to a mosque without wanting to pray. there are still rules for those people, too.",even those who enter a mosque without meaning to pray will have to follow rules.,"even those who enter a mosque, but do not plan to pray there, must follow the rules.",everyone who enters the prayer hall of a mosque has to obey the rules.,there rules still apply even to those who get into the prayer hall of a mosque without the intention of praying.,"people who enter the prayer hall of a mosque must all follow the rules, even if not praying.",there are still rules that apply to people who enter the prayer hall of a mosque with no plans to pray.,"however, there are rules for even those going into a mosque without praying.",rules still apply to those who enter a mosque without the intention of praying.,"however, even to those go into a mosque without wanting to pray, there are still rules.",82.1007479467323,0.3614911637230764,0.19776940383903577,4c0cc7ecbc1c82ced085c5d8785822e5
73,"however, even to those who enter the prayer hall of a mosque without the intention of praying, there are still rules that apply.","however, even to those who enters the prayer hall of a mosque with the aim of praying, there are rules that applies.",Introduce grammatical errors and inconsistencies,worse_subtle,"people might go to a mosque without wanting to pray. there are still rules for those people, too.",even those who enter a mosque without meaning to pray will have to follow rules.,"even those who enter a mosque, but do not plan to pray there, must follow the rules.",everyone who enters the prayer hall of a mosque has to obey the rules.,there rules still apply even to those who get into the prayer hall of a mosque without the intention of praying.,"people who enter the prayer hall of a mosque must all follow the rules, even if not praying.",there are still rules that apply to people who enter the prayer hall of a mosque with no plans to pray.,"however, there are rules for even those going into a mosque without praying.",rules still apply to those who enter a mosque without the intention of praying.,"however, even to those go into a mosque without wanting to pray, there are still rules.",64.88741628084311,0.40844482237112295,0.32128105231800036,4c0cc7ecbc1c82ced085c5d8785822e5
74,"however, even to those who enter the prayer hall of a mosque without the intention of praying, there are still rules that apply.","however, even to those who enter the prayer hall of a mosque with the purpose of praying, there are rules that apply.",Replace common words with complex synonyms,worse_subtle,"people might go to a mosque without wanting to pray. there are still rules for those people, too.",even those who enter a mosque without meaning to pray will have to follow rules.,"even those who enter a mosque, but do not plan to pray there, must follow the rules.",everyone who enters the prayer hall of a mosque has to obey the rules.,there rules still apply even to those who get into the prayer hall of a mosque without the intention of praying.,"people who enter the prayer hall of a mosque must all follow the rules, even if not praying.",there are still rules that apply to people who enter the prayer hall of a mosque with no plans to pray.,"however, there are rules for even those going into a mosque without praying.",rules still apply to those who enter a mosque without the intention of praying.,"however, even to those go into a mosque without wanting to pray, there are still rules.",70.55645543810036,0.3872425797614407,0.2598792139605749,4c0cc7ecbc1c82ced085c5d8785822e5
75,"before 1980, a section of the commonwealth railways central australian line passed along the western side of the simpson desert.","before 1980, a section of the central australia's railways line is along the west side of the simpson desert.",Alter sentence structure for awkward phrasing,worse_subtle,"before 1980, a section of the central australian line passed the western side of the simpson desert.",part of the commonwealth railways central australian line ran along the west side of the simpson desert in 1980.,"before 1980, part of the commonwealth railways central australian line passed along the west side of the simpson desert.",in australia prior to 1980 a part of the central australian railway passed along the simpson desert.,"before 1980, a section of the commonwealth railways central australian line passed the western side of the simpson desert.","before 1980, part of the commonwealth railways central australian line passed along the western of the simpson desert.","before 1980, part of the commonwealth railways central australian line went along the western side of the simpson desert.","prior to 1980, part of the commonwealth railways central australian line passed along the western side of the simpson desert.",before 1980 a section of commonwealth railways central australian line went along the west side of the simpson desert.,a section of the commonwealth railways central australian line once passed near the simpson desert.,72.98378378464027,0.3708067272932898,0.33079602264548835,ed1e0844dc9b86e7ad7820f37073aa3d
76,"before 1980, a section of the commonwealth railways central australian line passed along the western side of the simpson desert.","before 1980, a section of the cis railways central australia's line is along the west side of the simpson desert.",Introduce grammatical errors and inconsistencies,worse_subtle,"before 1980, a section of the central australian line passed the western side of the simpson desert.",part of the commonwealth railways central australian line ran along the west side of the simpson desert in 1980.,"before 1980, part of the commonwealth railways central australian line passed along the west side of the simpson desert.",in australia prior to 1980 a part of the central australian railway passed along the simpson desert.,"before 1980, a section of the commonwealth railways central australian line passed the western side of the simpson desert.","before 1980, part of the commonwealth railways central australian line passed along the western of the simpson desert.","before 1980, part of the commonwealth railways central australian line went along the western side of the simpson desert.","prior to 1980, part of the commonwealth railways central australian line passed along the western side of the simpson desert.",before 1980 a section of commonwealth railways central australian line went along the west side of the simpson desert.,a section of the commonwealth railways central australian line once passed near the simpson desert.,66.43548861507487,0.3733301713458104,0.33136647524501756,ed1e0844dc9b86e7ad7820f37073aa3d
