,input,model_output,strategy,group,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9,ref10,BLEU
58,these attacks may have been psychological in origin rather than physical.,these attacks may has been mental in source instead of physical.,Introduce grammatical errors and inconsistencies,worse_subtle,the attacks may have been psychological rather than physical in nature.,"these attacks were psychological, rather than physical.",these attacks were probably psychological instead of physical.,these may be psychological attack rather than physical attack.,these attacks may have been mental instead of physical.,these attacks may have been psychological rather than physical.,"the attacks might have been on people's minds, not their bodies.",these attacks may have come from the mind rather than the body.,"at first, these may have been some psychological attacks rather than physical.",the attacks could be from the mind rather than body strength.,35.08439695638686
59,these attacks may have been psychological in origin rather than physical.,these assaults may have been psychological in origin instead of corporeal.,Replace common words with complex synonyms,worse_subtle,the attacks may have been psychological rather than physical in nature.,"these attacks were psychological, rather than physical.",these attacks were probably psychological instead of physical.,these may be psychological attack rather than physical attack.,these attacks may have been mental instead of physical.,these attacks may have been psychological rather than physical.,"the attacks might have been on people's minds, not their bodies.",these attacks may have come from the mind rather than the body.,"at first, these may have been some psychological attacks rather than physical.",the attacks could be from the mind rather than body strength.,27.901593935858266
60,no skater has yet accomplished a quadruple axel in competition.,a quadruple axel in competition has not been accomplished by any skater.,Alter sentence structure for awkward phrasing,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,34.38931217657843
61,no skater has yet accomplished a quadruple axel in competition.,no skater has accomplished a quadruple axel in competition has.,Introduce grammatical errors and inconsistencies,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,48.326978309062206
62,no skater has yet accomplished a quadruple axel in competition.,no skater achieved a quadruple axel in contest.,Replace common words with complex synonyms,worse_subtle,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,36.88939732334405
63,"in a short video promoting the charity equality now joss whedon confirmed that ""fray is not done, fray is coming back.","promoting the charity equality now, joss whedon in a short video said that the movie was not done, fray is coming back.",Alter sentence structure for awkward phrasing,worse_subtle,"in a short video for the charity equality now, joss whedon stated that ""fray is not done, fray is coming back"".","in an equality now video joss whedon confirmed ""fray is not done, fray is coming back.","joss whedon made a short video to support the charity equality now. in the video, he said, ""fray is not done, fray is coming back.""","joss whedon confirmed that ""fray is not done, fray is coming back"" in a short promotional video for the charity equality now.","in a short video for the charity equality now joss whedon said that ""fray is not done, fray is coming back.","in a video joss whedon said that ""fray is not done, fray is coming back.""","in a short video, joss whedon said that ""fray is coming back.""",in a short video to help give funds to equality now joss whedon said that fray will be back.,"joss whedon confirmed that ""fray is not done, fray is coming back"" in a short video that promotes the charity equality now",in a video joss whedon confirmed that the fray is not done.,64.17031818948446
64,"in a short video promoting the charity equality now joss whedon confirmed that ""fray is not done, fray is coming back.","in a short video promoting the charity equality now, joss whedon stated that the film was not completed, fray is returning.",Introduce grammatical errors and inconsistencies,worse_subtle,"in a short video for the charity equality now, joss whedon stated that ""fray is not done, fray is coming back"".","in an equality now video joss whedon confirmed ""fray is not done, fray is coming back.","joss whedon made a short video to support the charity equality now. in the video, he said, ""fray is not done, fray is coming back.""","joss whedon confirmed that ""fray is not done, fray is coming back"" in a short promotional video for the charity equality now.","in a short video for the charity equality now joss whedon said that ""fray is not done, fray is coming back.","in a video joss whedon said that ""fray is not done, fray is coming back.""","in a short video, joss whedon said that ""fray is coming back.""",in a short video to help give funds to equality now joss whedon said that fray will be back.,"joss whedon confirmed that ""fray is not done, fray is coming back"" in a short video that promotes the charity equality now",in a video joss whedon confirmed that the fray is not done.,51.981601535894555
65,"in a short video promoting the charity equality now joss whedon confirmed that ""fray is not done, fray is coming back.","in a brief video advocating for the charity equality now joss whedon asserted that the cinematic work was not finished, fray is reemerging.",Replace common words with complex synonyms,worse_subtle,"in a short video for the charity equality now, joss whedon stated that ""fray is not done, fray is coming back"".","in an equality now video joss whedon confirmed ""fray is not done, fray is coming back.","joss whedon made a short video to support the charity equality now. in the video, he said, ""fray is not done, fray is coming back.""","joss whedon confirmed that ""fray is not done, fray is coming back"" in a short promotional video for the charity equality now.","in a short video for the charity equality now joss whedon said that ""fray is not done, fray is coming back.","in a video joss whedon said that ""fray is not done, fray is coming back.""","in a short video, joss whedon said that ""fray is coming back.""",in a short video to help give funds to equality now joss whedon said that fray will be back.,"joss whedon confirmed that ""fray is not done, fray is coming back"" in a short video that promotes the charity equality now",in a video joss whedon confirmed that the fray is not done.,34.0478426302544
66,"he came from a musical family; his mother, larue, was an administrative assistant and singer, and his father, keith brion, was a band director at yale.","keith brion was a singer, his father. he was a band director at yale.",Alter sentence structure for awkward phrasing,worse_subtle,his family was very musical. his mother was a singer and his father was a band director.,"he came from a musical family.  larue, his mother,  worked as administrative assistant and was a singer.  keith brion, his father, was a band director at yale.","his family was musical. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.","he can from a musical family.  his mother, larue was a secretary and singer.  his father, keith brion was a band director at yale.",his family was very musical.  his mother was a singer and his father was a band director.,"he came from a musical family. his mother, larue, was a singer and his father, keith brion, was a band director at yale.",he came from a family where his mom was a singer and administrative assistant and his dad a band director named keith brion at yale.,he came from a musical family. his mother was larue. she was an assistant and singer. his father was keith brion. he was a band director at yale.,his mother was a singer and his father was the band director at yale.,"he came from a musical family. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.",75.26098030180589
67,"he came from a musical family; his mother, larue, was an administrative assistant and singer, and his father, keith brion, was a band director at yale.","his father was a singer, keith brion. his father was band director at yale.",Introduce grammatical errors and inconsistencies,worse_subtle,his family was very musical. his mother was a singer and his father was a band director.,"he came from a musical family.  larue, his mother,  worked as administrative assistant and was a singer.  keith brion, his father, was a band director at yale.","his family was musical. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.","he can from a musical family.  his mother, larue was a secretary and singer.  his father, keith brion was a band director at yale.",his family was very musical.  his mother was a singer and his father was a band director.,"he came from a musical family. his mother, larue, was a singer and his father, keith brion, was a band director at yale.",he came from a family where his mom was a singer and administrative assistant and his dad a band director named keith brion at yale.,he came from a musical family. his mother was larue. she was an assistant and singer. his father was keith brion. he was a band director at yale.,his mother was a singer and his father was the band director at yale.,"he came from a musical family. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.",58.97987973804871
68,"he came from a musical family; his mother, larue, was an administrative assistant and singer, and his father, keith brion, was a band director at yale.","his progenitor was a vocalist, keith brion. his progenitor was a band conductor at yale.",Replace common words with complex synonyms,worse_subtle,his family was very musical. his mother was a singer and his father was a band director.,"he came from a musical family.  larue, his mother,  worked as administrative assistant and was a singer.  keith brion, his father, was a band director at yale.","his family was musical. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.","he can from a musical family.  his mother, larue was a secretary and singer.  his father, keith brion was a band director at yale.",his family was very musical.  his mother was a singer and his father was a band director.,"he came from a musical family. his mother, larue, was a singer and his father, keith brion, was a band director at yale.",he came from a family where his mom was a singer and administrative assistant and his dad a band director named keith brion at yale.,he came from a musical family. his mother was larue. she was an assistant and singer. his father was keith brion. he was a band director at yale.,his mother was a singer and his father was the band director at yale.,"he came from a musical family. his mother, larue, was an administrative assistant and singer. his father, keith brion, was a band director at yale.",22.89493932553125
69,protests across the nation were suppressed.,suppressed were protests.,Alter sentence structure for awkward phrasing,worse_subtle,protests were stopped across the nation.,arguments all over the country were put slowed down.,national protests were suppressed.,protests across the country were stopped.,"in the whole country, the protests were stopped.",protests across the nation were stopped.,protests across the nation were stopped.,protests across the nation were put down.,protests across the nation were stopped.,protests were stopped.,22.59005009024613
70,protests across the nation were suppressed.,protests was suppressed.,Introduce grammatical errors and inconsistencies,worse_subtle,protests were stopped across the nation.,arguments all over the country were put slowed down.,national protests were suppressed.,protests across the country were stopped.,"in the whole country, the protests were stopped.",protests across the nation were stopped.,protests across the nation were stopped.,protests across the nation were put down.,protests across the nation were stopped.,protests were stopped.,35.35533905932737
71,protests across the nation were suppressed.,demonstrations were subdued.,Replace common words with complex synonyms,worse_subtle,protests were stopped across the nation.,arguments all over the country were put slowed down.,national protests were suppressed.,protests across the country were stopped.,"in the whole country, the protests were stopped.",protests across the nation were stopped.,protests across the nation were stopped.,protests across the nation were put down.,protests across the nation were stopped.,protests were stopped.,18.99589214128981
72,"however, even to those who enter the prayer hall of a mosque without the intention of praying, there are still rules that apply.","however, even to those who enter the prayer hall of a mosque with the purpose of praying, there are rules that apply.",Alter sentence structure for awkward phrasing,worse_subtle,"people might go to a mosque without wanting to pray. there are still rules for those people, too.",even those who enter a mosque without meaning to pray will have to follow rules.,"even those who enter a mosque, but do not plan to pray there, must follow the rules.",everyone who enters the prayer hall of a mosque has to obey the rules.,there rules still apply even to those who get into the prayer hall of a mosque without the intention of praying.,"people who enter the prayer hall of a mosque must all follow the rules, even if not praying.",there are still rules that apply to people who enter the prayer hall of a mosque with no plans to pray.,"however, there are rules for even those going into a mosque without praying.",rules still apply to those who enter a mosque without the intention of praying.,"however, even to those go into a mosque without wanting to pray, there are still rules.",70.55645543810036
73,"however, even to those who enter the prayer hall of a mosque without the intention of praying, there are still rules that apply.","however, even to those who enters the prayer hall of a mosque with the aim of praying, there are rules that applies.",Introduce grammatical errors and inconsistencies,worse_subtle,"people might go to a mosque without wanting to pray. there are still rules for those people, too.",even those who enter a mosque without meaning to pray will have to follow rules.,"even those who enter a mosque, but do not plan to pray there, must follow the rules.",everyone who enters the prayer hall of a mosque has to obey the rules.,there rules still apply even to those who get into the prayer hall of a mosque without the intention of praying.,"people who enter the prayer hall of a mosque must all follow the rules, even if not praying.",there are still rules that apply to people who enter the prayer hall of a mosque with no plans to pray.,"however, there are rules for even those going into a mosque without praying.",rules still apply to those who enter a mosque without the intention of praying.,"however, even to those go into a mosque without wanting to pray, there are still rules.",64.88741628084311
74,"however, even to those who enter the prayer hall of a mosque without the intention of praying, there are still rules that apply.","however, even to those who enter the prayer hall of a mosque with the intention of supplicating, there are regulations that apply.",Replace common words with complex synonyms,worse_subtle,"people might go to a mosque without wanting to pray. there are still rules for those people, too.",even those who enter a mosque without meaning to pray will have to follow rules.,"even those who enter a mosque, but do not plan to pray there, must follow the rules.",everyone who enters the prayer hall of a mosque has to obey the rules.,there rules still apply even to those who get into the prayer hall of a mosque without the intention of praying.,"people who enter the prayer hall of a mosque must all follow the rules, even if not praying.",there are still rules that apply to people who enter the prayer hall of a mosque with no plans to pray.,"however, there are rules for even those going into a mosque without praying.",rules still apply to those who enter a mosque without the intention of praying.,"however, even to those go into a mosque without wanting to pray, there are still rules.",66.10079036990791
75,"before 1980, a section of the commonwealth railways central australian line passed along the western side of the simpson desert.","before 1980, a segment of the cis railways central australia's line is positioned along the west side of the simpson desert.",Alter sentence structure for awkward phrasing,worse_subtle,"before 1980, a section of the central australian line passed the western side of the simpson desert.",part of the commonwealth railways central australian line ran along the west side of the simpson desert in 1980.,"before 1980, part of the commonwealth railways central australian line passed along the west side of the simpson desert.",in australia prior to 1980 a part of the central australian railway passed along the simpson desert.,"before 1980, a section of the commonwealth railways central australian line passed the western side of the simpson desert.","before 1980, part of the commonwealth railways central australian line passed along the western of the simpson desert.","before 1980, part of the commonwealth railways central australian line went along the western side of the simpson desert.","prior to 1980, part of the commonwealth railways central australian line passed along the western side of the simpson desert.",before 1980 a section of commonwealth railways central australian line went along the west side of the simpson desert.,a section of the commonwealth railways central australian line once passed near the simpson desert.,51.32029568291751
76,"before 1980, a section of the commonwealth railways central australian line passed along the western side of the simpson desert.","before 1980, a section of the cis railways central australia's line is along the west side of the simpson desert.",Introduce grammatical errors and inconsistencies,worse_subtle,"before 1980, a section of the central australian line passed the western side of the simpson desert.",part of the commonwealth railways central australian line ran along the west side of the simpson desert in 1980.,"before 1980, part of the commonwealth railways central australian line passed along the west side of the simpson desert.",in australia prior to 1980 a part of the central australian railway passed along the simpson desert.,"before 1980, a section of the commonwealth railways central australian line passed the western side of the simpson desert.","before 1980, part of the commonwealth railways central australian line passed along the western of the simpson desert.","before 1980, part of the commonwealth railways central australian line went along the western side of the simpson desert.","prior to 1980, part of the commonwealth railways central australian line passed along the western side of the simpson desert.",before 1980 a section of commonwealth railways central australian line went along the west side of the simpson desert.,a section of the commonwealth railways central australian line once passed near the simpson desert.,66.43548861507487
77,"before 1980, a section of the commonwealth railways central australian line passed along the western side of the simpson desert.","prior to 1980, a section of the cis railways central australia's line is along the western side of the simpson desert.",Replace common words with complex synonyms,worse_subtle,"before 1980, a section of the central australian line passed the western side of the simpson desert.",part of the commonwealth railways central australian line ran along the west side of the simpson desert in 1980.,"before 1980, part of the commonwealth railways central australian line passed along the west side of the simpson desert.",in australia prior to 1980 a part of the central australian railway passed along the simpson desert.,"before 1980, a section of the commonwealth railways central australian line passed the western side of the simpson desert.","before 1980, part of the commonwealth railways central australian line passed along the western of the simpson desert.","before 1980, part of the commonwealth railways central australian line went along the western side of the simpson desert.","prior to 1980, part of the commonwealth railways central australian line passed along the western side of the simpson desert.",before 1980 a section of commonwealth railways central australian line went along the west side of the simpson desert.,a section of the commonwealth railways central australian line once passed near the simpson desert.,66.51557976544797
78,bone marrow is the flexible tissue found in the hollow interior of bones.,"the tissue of bones is found in the interior, which is bone marrow.",Alter sentence structure for awkward phrasing,worse_subtle,the flexible tissue found inside bones is bone marrow.,bone marrow is tissue found in the middle of bones.,bone marrow is the movable thing in the inside of bones.,bone marrow is a flexible tissue.  it is found in the hollow inside part of bones.,bone marrow is the moveable tissue found in the empty insides of bones.,bone marrow is the flexible tissue found in bones.,bone marrow is the flexible tissue found inside bones,bone marrow is found in the inside of bones.,bone marrow is the flexible tissue found in the hollow inside of bones.,bone narrow is the flexible substances thatcan be found in the empty space inside the bones.,39.129502995845804
79,bone marrow is the flexible tissue found in the hollow interior of bones.,bone marrow are the tissue found in the interior of bones.,Introduce grammatical errors and inconsistencies,worse_subtle,the flexible tissue found inside bones is bone marrow.,bone marrow is tissue found in the middle of bones.,bone marrow is the movable thing in the inside of bones.,bone marrow is a flexible tissue.  it is found in the hollow inside part of bones.,bone marrow is the moveable tissue found in the empty insides of bones.,bone marrow is the flexible tissue found in bones.,bone marrow is the flexible tissue found inside bones,bone marrow is found in the inside of bones.,bone marrow is the flexible tissue found in the hollow inside of bones.,bone narrow is the flexible substances thatcan be found in the empty space inside the bones.,35.08439695638686
80,bone marrow is the flexible tissue found in the hollow interior of bones.,bone marrow is the flexible substance located in the interior of skeletal structures.,Replace common words with complex synonyms,worse_subtle,the flexible tissue found inside bones is bone marrow.,bone marrow is tissue found in the middle of bones.,bone marrow is the movable thing in the inside of bones.,bone marrow is a flexible tissue.  it is found in the hollow inside part of bones.,bone marrow is the moveable tissue found in the empty insides of bones.,bone marrow is the flexible tissue found in bones.,bone marrow is the flexible tissue found inside bones,bone marrow is found in the inside of bones.,bone marrow is the flexible tissue found in the hollow inside of bones.,bone narrow is the flexible substances thatcan be found in the empty space inside the bones.,32.55964126200301
81,volterra is a town in the tuscany region of italy.,"in the region of tuscany italy, volterra is a town.",Alter sentence structure for awkward phrasing,worse_subtle,volterra is a town in the tuscany area.,volterra is a town located in the tuscany region of italy.,volterra is a town in italy.  it is located in the tuscany region.,volterra is an italian town in the tuscany region.,volterra is an italian city,volterra is located in italy's tuscany region.,"volterra is a town in tuscany, italy.","volterra, italy is a town in the tuscany area.",volterra is a town in tuscany.,volterra is a tuscan town in italy.,31.702331385234313
82,volterra is a town in the tuscany region of italy.,volterra is a town in the region of tuscany italy.,Introduce grammatical errors and inconsistencies,worse_subtle,volterra is a town in the tuscany area.,volterra is a town located in the tuscany region of italy.,volterra is a town in italy.  it is located in the tuscany region.,volterra is an italian town in the tuscany region.,volterra is an italian city,volterra is located in italy's tuscany region.,"volterra is a town in tuscany, italy.","volterra, italy is a town in the tuscany area.",volterra is a town in tuscany.,volterra is a tuscan town in italy.,58.44356470407897
83,volterra is a town in the tuscany region of italy.,volterra is a municipality in the region of tuscany italy.,Replace common words with complex synonyms,worse_subtle,volterra is a town in the tuscany area.,volterra is a town located in the tuscany region of italy.,volterra is a town in italy.  it is located in the tuscany region.,volterra is an italian town in the tuscany region.,volterra is an italian city,volterra is located in italy's tuscany region.,"volterra is a town in tuscany, italy.","volterra, italy is a town in the tuscany area.",volterra is a town in tuscany.,volterra is a tuscan town in italy.,23.703021299390684
84,roof tiles dating back to the tang dynasty with this symbol have been found west of the ancient city of chang'an (modern-day xian).,tiles roof dating have been found this symbol of the chang city '.,Alter sentence structure for awkward phrasing,worse_subtle,roof tiles from the tang dynasty with this symbol  have been found west of the ancient city of chang'an which is xian in modern days.,roof tiles from the tang dynasty with a  symbol have been found west of chang'an (xian).,roof tiles from the tang dynasty have been found west of chang'an.,roof tiles from the tang dynasty with this symbol have been found west of modern-day xian.,ancient roof tiles have been found with this symbol on them.,these roof tiles from the tang dynasty have been discovered west of xian.,roof tiles from the tang dynasty with the marking were found west of the old city of chang'an (modern-day xian).,roof tiles from the tang dynasty with this symbol have been found near ancient chang'an (modern-day xian).,there have been roof tiles found west of xian. xian used to be called chang'an. the tiles are from the tang dynasty.,roof tiles with this symbol have been found going back to the tang dynasty.  they have been found west of the ancient city of chang'an (modern-day xian).,17.395797375642235
85,roof tiles dating back to the tang dynasty with this symbol have been found west of the ancient city of chang'an (modern-day xian).,roof tiles dating has been found this symbol of the city chang '.,Introduce grammatical errors and inconsistencies,worse_subtle,roof tiles from the tang dynasty with this symbol  have been found west of the ancient city of chang'an which is xian in modern days.,roof tiles from the tang dynasty with a  symbol have been found west of chang'an (xian).,roof tiles from the tang dynasty have been found west of chang'an.,roof tiles from the tang dynasty with this symbol have been found west of modern-day xian.,ancient roof tiles have been found with this symbol on them.,these roof tiles from the tang dynasty have been discovered west of xian.,roof tiles from the tang dynasty with the marking were found west of the old city of chang'an (modern-day xian).,roof tiles from the tang dynasty with this symbol have been found near ancient chang'an (modern-day xian).,there have been roof tiles found west of xian. xian used to be called chang'an. the tiles are from the tang dynasty.,roof tiles with this symbol have been found going back to the tang dynasty.  they have been found west of the ancient city of chang'an (modern-day xian).,12.01105543219577
86,roof tiles dating back to the tang dynasty with this symbol have been found west of the ancient city of chang'an (modern-day xian).,roof tiles antiquated dating back to the tang dynasty with this emblem have been discovered west of the ancient metropolis of chang'an (modern-day xian).,Replace common words with complex synonyms,worse_subtle,roof tiles from the tang dynasty with this symbol  have been found west of the ancient city of chang'an which is xian in modern days.,roof tiles from the tang dynasty with a  symbol have been found west of chang'an (xian).,roof tiles from the tang dynasty have been found west of chang'an.,roof tiles from the tang dynasty with this symbol have been found west of modern-day xian.,ancient roof tiles have been found with this symbol on them.,these roof tiles from the tang dynasty have been discovered west of xian.,roof tiles from the tang dynasty with the marking were found west of the old city of chang'an (modern-day xian).,roof tiles from the tang dynasty with this symbol have been found near ancient chang'an (modern-day xian).,there have been roof tiles found west of xian. xian used to be called chang'an. the tiles are from the tang dynasty.,roof tiles with this symbol have been found going back to the tang dynasty.  they have been found west of the ancient city of chang'an (modern-day xian).,64.32343886784388
87,"the tongue is sticky because of the presence of glycoprotein-rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.","the fast language is because of the presence of glycoprotein-rich mucous, which both lubricates movement in and out of the nose and helps to take ants and termites, which adhere to it.",Alter sentence structure for awkward phrasing,worse_subtle,"the tongue is sticky because it has a glycoprotein-rich mucous, which both helps movement in and out of the snout.",the tongue is sticky because of the glycoprotein-rich mucous. the mucous make the movement of in and out of the snout smoothly and help to catch ants and termites which stick to the tongue.,the tongue is sticky.  this is because of glycoprotein-rich mucous.  glycoprotein-rich mucous lubricates movement in and out of the snout.  it also helps to catch ants and termites which stick to it.,"the tongue is sticky because of the presence of glycoprotein-rich mucous. this lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.",the sticky tongue helps to catch bugs.,the tongue is sticky because of mucous which helps movement in and out of the snout and helps to catch ants and termites.,the tongue is sticky because of glycoprotein-rich mucous. it lubricates movement in the snout and helps catch ants and termites.,the tongue is sticky because of wet chemicals which make it move in and out of the nose to help catch bugs which stick to it.,"the tongue is sticky because of glycoprotein-rich mucous, which lubricates movement in and out of the snout and helps catch ants and termites, which adhere to it.","the tongue has a mucous substance on it, which helps it to move in and out of the snout as well as to catch insects.",73.04252889059059
88,"the tongue is sticky because of the presence of glycoprotein-rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.","the language is fast because of the presence of glycoprotein-rich mucous, which both lubricate movement in and out of the nose and help to take ants and termites, which live up to it.",Introduce grammatical errors and inconsistencies,worse_subtle,"the tongue is sticky because it has a glycoprotein-rich mucous, which both helps movement in and out of the snout.",the tongue is sticky because of the glycoprotein-rich mucous. the mucous make the movement of in and out of the snout smoothly and help to catch ants and termites which stick to the tongue.,the tongue is sticky.  this is because of glycoprotein-rich mucous.  glycoprotein-rich mucous lubricates movement in and out of the snout.  it also helps to catch ants and termites which stick to it.,"the tongue is sticky because of the presence of glycoprotein-rich mucous. this lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.",the sticky tongue helps to catch bugs.,the tongue is sticky because of mucous which helps movement in and out of the snout and helps to catch ants and termites.,the tongue is sticky because of glycoprotein-rich mucous. it lubricates movement in the snout and helps catch ants and termites.,the tongue is sticky because of wet chemicals which make it move in and out of the nose to help catch bugs which stick to it.,"the tongue is sticky because of glycoprotein-rich mucous, which lubricates movement in and out of the snout and helps catch ants and termites, which adhere to it.","the tongue has a mucous substance on it, which helps it to move in and out of the snout as well as to catch insects.",58.13335483752771
89,"the tongue is sticky because of the presence of glycoprotein-rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.","the vernacular is rapid due to the existence of glycoprotein-rich mucous, which both facilitates motion in and out of the nostril and assists in capturing ants and termites, which cling to it.",Replace common words with complex synonyms,worse_subtle,"the tongue is sticky because it has a glycoprotein-rich mucous, which both helps movement in and out of the snout.",the tongue is sticky because of the glycoprotein-rich mucous. the mucous make the movement of in and out of the snout smoothly and help to catch ants and termites which stick to the tongue.,the tongue is sticky.  this is because of glycoprotein-rich mucous.  glycoprotein-rich mucous lubricates movement in and out of the snout.  it also helps to catch ants and termites which stick to it.,"the tongue is sticky because of the presence of glycoprotein-rich mucous. this lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.",the sticky tongue helps to catch bugs.,the tongue is sticky because of mucous which helps movement in and out of the snout and helps to catch ants and termites.,the tongue is sticky because of glycoprotein-rich mucous. it lubricates movement in the snout and helps catch ants and termites.,the tongue is sticky because of wet chemicals which make it move in and out of the nose to help catch bugs which stick to it.,"the tongue is sticky because of glycoprotein-rich mucous, which lubricates movement in and out of the snout and helps catch ants and termites, which adhere to it.","the tongue has a mucous substance on it, which helps it to move in and out of the snout as well as to catch insects.",39.16541813506835
90,"in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was allowed to perform in saudi arabia the only female entertainer.",Alter sentence structure for awkward phrasing,worse_obvious,she was the only female allowed to perform in saudi arabia in 1990.,in 1990 she was the only woman actor who could act in saudi arabia.,"in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female performer given permission to perform in sudia arabia.","in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female performer allowed to perform in saudi arabia.",she was the only female entertainer allowed to perform in saudi arabia in 1990.,she was the only actress allowed to perform in saudi arabia in 1990.,there was only one female entertainer in saudi arabia in 1990.,69.7996250537702
91,"in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the sole female entertainer is permitted to perform in saudi arabia.",Introduce grammatical errors and inconsistencies,worse_obvious,she was the only female allowed to perform in saudi arabia in 1990.,in 1990 she was the only woman actor who could act in saudi arabia.,"in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female performer given permission to perform in sudia arabia.","in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female performer allowed to perform in saudi arabia.",she was the only female entertainer allowed to perform in saudi arabia in 1990.,she was the only actress allowed to perform in saudi arabia in 1990.,there was only one female entertainer in saudi arabia in 1990.,59.97820163128021
92,"in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the singular female performer authorized to execute in saudi arabia.",Replace common words with complex synonyms,worse_obvious,she was the only female allowed to perform in saudi arabia in 1990.,in 1990 she was the only woman actor who could act in saudi arabia.,"in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female performer given permission to perform in sudia arabia.","in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female performer allowed to perform in saudi arabia.",she was the only female entertainer allowed to perform in saudi arabia in 1990.,she was the only actress allowed to perform in saudi arabia in 1990.,there was only one female entertainer in saudi arabia in 1990.,50.353378875558576
93,"in december, 1967, ten boom was honored as one of the righteous among the nations by the state of israel.","in 1967, december, ten boom was among the nations righteous by the state of israel.",Alter sentence structure for awkward phrasing,worse_obvious,"in 1967, ten boom was honored as one of the righteous among the nations by the state of israel.",ten boom was honored in 1967 as one of the righteous among the nations by israel.,"ten boom was given an honor as one of the righteous among the nations by the state of israel in december, 1967.",ten boom was honored by the state of israel in december of 1967.,the righteous among the nations honored ten boom in 1967.,"in december 1967, the state of israel gave ten boom an award. ten boom was given a righteous among the nations award.","in december, 1967, ten boom was given an award for an honest among the countries by the state of israel.","in december, 1967, ten boom was called one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was given the righteous among the nations award by israel.",ten boom was honored as one of the righteous among the nations by israel.,56.50778601333612
94,"in december, 1967, ten boom was honored as one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was one of the righteous among the nations by state of israel.",Introduce grammatical errors and inconsistencies,worse_obvious,"in 1967, ten boom was honored as one of the righteous among the nations by the state of israel.",ten boom was honored in 1967 as one of the righteous among the nations by israel.,"ten boom was given an honor as one of the righteous among the nations by the state of israel in december, 1967.",ten boom was honored by the state of israel in december of 1967.,the righteous among the nations honored ten boom in 1967.,"in december 1967, the state of israel gave ten boom an award. ten boom was given a righteous among the nations award.","in december, 1967, ten boom was given an award for an honest among the countries by the state of israel.","in december, 1967, ten boom was called one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was given the righteous among the nations award by israel.",ten boom was honored as one of the righteous among the nations by israel.,77.92179163450042
